2026-07-27 00:49:15 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-07-27 00:49:15 [main] INFO  c.s.StudentManagementApiApplication - Starting StudentManagementApiApplication using Java 25.0.2 with PID 23676 (C:\Users\Mladja\IdeaProjects\student-management-api\target\classes started by Mladja in C:\Users\Mladja\IdeaProjects\student-management-api)
2026-07-27 00:49:15 [main] INFO  c.s.StudentManagementApiApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-27 00:49:17 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-07-27 00:49:17 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 67 ms. Found 6 JPA repository interfaces.
2026-07-27 00:49:18 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-07-27 00:49:18 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-07-27 00:49:18 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-07-27 00:49:18 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-07-27 00:49:18 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-07-27 00:49:18 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2788 ms
2026-07-27 00:49:19 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-07-27 00:49:19 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@177ddd24
2026-07-27 00:49:19 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-07-27 00:49:19 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5332/lazardb (PostgreSQL 16.14)
2026-07-27 00:49:19 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 1 migration (execution time 00:00.056s)
2026-07-27 00:49:19 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 1
2026-07-27 00:49:19 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
2026-07-27 00:49:19 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-07-27 00:49:20 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-07-27 00:49:20 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-07-27 00:49:20 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-07-27 00:49:21 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-07-27 00:49:25 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-07-27 00:49:26 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-07-27 00:49:27 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-07-27 00:49:27 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-07-27 00:49:28 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2026-07-27 00:49:28 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@344ab465, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5ce1b67b, org.springframework.security.web.context.SecurityContextHolderFilter@3c9e06d7, org.springframework.security.web.header.HeaderWriterFilter@5b12157b, org.springframework.web.filter.CorsFilter@d05d8c3, org.springframework.security.web.authentication.logout.LogoutFilter@665f19d, com.student.config.JwtAuthFilter@699fe19f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@161138c8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@35c66ad, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@250988e5, org.springframework.security.web.session.SessionManagementFilter@16b48082, org.springframework.security.web.access.ExceptionTranslationFilter@6eaf016e, org.springframework.security.web.access.intercept.AuthorizationFilter@cc655a]
2026-07-27 00:49:29 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-07-27 00:49:29 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2026-07-27 00:49:29 [main] INFO  c.s.StudentManagementApiApplication - Started StudentManagementApiApplication in 14.228 seconds (process running for 15.283)
2026-07-27 00:50:18 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-07-27 00:50:18 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-07-27 00:50:18 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2026-07-27 01:03:32 [http-nio-8080-exec-4] WARN  c.s.exception.GlobalExceptionHandler - Authentication failed - Pogrešni kredencijali: Invalid credentials
2026-07-27 01:39:22 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=4m3s222ms841µs600ns).
